#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,is the graphical server.
,xorg-xinit,starts the graphical server.
,terminus,provides the fonts.
,ranger,is an extensive terminal file manager that everyone likes.
,bc,is used for a dropdown calculator.
,picom,is for transparency and removing screen-tearing.
,dosfstools,allows your computer to access dos-like filesystems.
,exfat-utils,allows management of FAT drives.
,feh,sets the wallpaper.
,ffmpeg,can record and splice video and audio on the command line.
,vim,vim
,mpv,is the patrician's choice video player.
,man-db,lets you read man pages of programs.
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,alsa-utils,
,pulseaudio,compatibility with PulseAudio programs.
,pavucontrol,is an audio controller.
A,sc-im,is an Excel-like terminal spreadsheet manager.
,unrar,extracts rar's.
,unzip,unzips zips.
,xclip,allows for copying and pasting from the command line.
,yt-dlp,can download any YouTube video (or playlist or channel) when given the link.
,zathura,is a pdf viewer with vim-like bindings.
,zathura-pdf-mupdf,allows mupdf pdf compatibility in zathura.
,xorg-xbacklight,enables changing screen brightness levels.
,htop,a nice interface for running processes
G,https://github.com/wit71/dwmblocks,serves as the modular status bar.
G,https://git.suckless.org/dmenu.git,runs commands and provides a UI for selection.
,rxvt-unicode,terminal emulator
G,https://github.com/wit71/dwm,is the window manager.
